titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_lidos,mais_lendo,mais_quero_ler,mais_abondonados,mais_desejados,mais_favoritos,literatura,ficção/não_ficção
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98298,149958,13471,124334,503,2260,17524,15781,60.0,14.0,36.0,76.0,51.0,34.0,literatura estrangeira,ficção
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170204,499082,11997,180491,1006,2610,39339,6499,6.0,19.0,14.0,60.0,32.0,8.0,literatura estrangeira,ficção
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106574,187759,12329,138200,662,3749,13936,13517,44.0,16.0,26.0,33.0,25.0,46.0,literatura estrangeira,ficção
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67520,151619,7547,93147,512,2511,17635,3286,58.0,46.0,64.0,68.0,44.0,33.0,literatura estrangeira,ficção
"Novembro, 9",Colleen Hoover,Literatura Estrangeira / Romance ,4.1,58823,91728,5806,106963,101,1098,7469,10162,,69.0,53.0,,78.0,,literatura estrangeira,ficção
O Símbolo Perdido (Robert Langdon #3),Dan Brown,Aventura / Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,4.1,45993,142605,3166,71255,124,2173,6146,1379,62.0,,97.0,83.0,,,literatura estrangeira,ficção
O Herói Perdido (Os Heróis do Olimpo #1),Rick Riordan,Ficção / Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,66480,172651,4048,52242,273,1242,8100,3250,47.0,103.0,,,,,literatura estrangeira,ficção
A Batalha do Apocalipse,Eduardo Spohr,Fantasia / Literatura Brasileira ,4.3,25791,45034,4308,64713,211,4024,6778,1165,,97.0,,26.0,,,literatura brasileira,ficção
Morte Súbita,Joanne Kathleen Rowling,Literatura Estrangeira / Ficção ,3.8,19299,36812,3864,107056,40,6453,2970,1154,,,52.0,12.0,,,literatura estrangeira,ficção
A arte da guerra (L&amp;PM Pocket),Sun Tzu,Filosofia / Literatura Estrangeira / Não-ficção / História ,3.8,29598,52489,2806,17602,226,2095,1993,1413,,,,91.0,,,literatura estrangeira,não_ficção
E Não Sobrou Nenhum,Agatha Christie,Romance policial / Ficção ,4.5,46293,75935,2902,45105,91,759,9667,5026,,,,,,88.0,literatura estrangeira,ficção
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55924,87522,10858,86429,180,6555,9699,11685,,24.0,69.0,11.0,105.0,86.0,literatura estrangeira,ficção
Insurgente (Divergente  #2),Veronica Roth,Literatura Estrangeira / Ficção / Infantojuvenil / Distopia ,4.1,47895,105277,2490,37480,94,1525,7522,1532,98.0,,,,84.0,,literatura estrangeira,ficção
Eu Sou Eric Zimmerman #1,Megan Maxwell,Erótico / Ficção / Literatura Estrangeira / Romance ,4.1,1169,1794,15949,2045,5,26,209,87,,10.0,,,,,literatura estrangeira,ficção
Dom Casmurro (Série Bom Livro),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.2,95665,285447,6294,33960,677,5200,13127,4207,27.0,63.0,,18.0,,51.0,literatura brasileira,ficção
Cinquenta Tons de Cinza #1,E. L. James,Erótico / Literatura Estrangeira / Romance / Ficção ,3.6,62160,224116,4059,22042,363,6421,9218,2362,37.0,101.0,,13.0,,95.0,literatura estrangeira,ficção
Heartstopper #1,Alice Oseman,"HQ, comics, mangá / LGBT / GLS / Romance / Ficção / Jovem adulto / Literatura Estrangeira ",4.7,84399,113225,1783,34454,204,91,14393,13514,86.0,,,,,43.0,literatura estrangeira,ficção
Querido John,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.0,59364,228057,2300,89929,167,2736,9074,2088,35.0,,66.0,57.0,,98.0,literatura estrangeira,ficção
O Alquimista,Paulo Coelho,Literatura Brasileira / Romance / Autoajuda / Ficção / Religião e Espiritualidade ,3.8,38785,121002,1193,13222,144,1433,4326,1643,78.0,,,,,,literatura brasileira,ficção
O segredo (The Secret),Rhonda Byrne,Autoajuda / Literatura Estrangeira ,3.3,17304,33234,1445,6492,179,3560,1344,784,,,,38.0,,,literatura estrangeira,não_ficção
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90196,312545,4479,104683,208,5379,10754,2115,23.0,92.0,54.0,17.0,,70.0,literatura estrangeira,ficção
O Retorno do Rei (O Senhor dos Anéis #3),J. R. R. Tolkien,Fantasia / Ficção / Literatura Estrangeira ,4.7,30335,74757,1281,65922,134,730,8671,1034,,,106.0,,102.0,105.0,literatura estrangeira,ficção
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138265,323708,5758,112473,416,1617,20415,7836,20.0,71.0,48.0,,23.0,27.0,literatura estrangeira,ficção
O Mar de Monstros (Percy Jackson e os Olimpianos #2),Rick Riordan,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,136314,338946,5000,51795,505,1369,15454,6385,15.0,81.0,,,79.0,39.0,literatura estrangeira,ficção
Daisy Jones &amp; The Six,Taylor Jenkins Reid,Romance / Ficção / Literatura Estrangeira / Música / Drama ,4.4,56823,68818,7148,74012,167,1279,14489,13166,,49.0,89.0,,,42.0,literatura estrangeira,ficção
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171123,447089,12043,119519,1420,3355,28687,10292,9.0,18.0,38.0,43.0,30.0,18.0,literatura estrangeira,ficção
Triste fim de Policarpo Quaresma,Lima Barreto,Ficção / Literatura Brasileira / Romance ,3.6,17124,33344,1336,10232,53,1937,909,988,,,,101.0,,,literatura brasileira,ficção
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45008,114159,6765,60813,378,3357,11196,2255,83.0,55.0,,42.0,70.0,65.0,literatura estrangeira,ficção
Fallen #1,Lauren Kate,Romance / Suspense e Mistério ,3.7,52382,162421,2533,35866,343,3237,7269,1939,52.0,,,45.0,,,literatura estrangeira,ficção
Sob a redoma,Stephen King,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.4,9420,15438,2423,44739,20,950,2546,949,,,,,65.0,,literatura estrangeira,ficção
Mulherzinhas,Louisa May Alcott,Literatura Estrangeira / Ficção / Romance ,4.2,12214,19395,4753,57536,44,1278,2668,2142,,84.0,,,,,literatura estrangeira,ficção
Fahrenheit 451,Ray Bradbury,Distopia / Ficção científica / Literatura Estrangeira ,4.1,41649,66931,4054,64715,68,1149,6035,5253,,102.0,,,55.0,,literatura estrangeira,ficção
Lolita,Vladimir Nabokov,Literatura Estrangeira ,4.0,17650,33114,3501,33574,135,3502,3250,1447,,,,39.0,,,literatura estrangeira,ficção
Um de Nós Está Mentindo #1,Karen M. McManus,Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,3.9,56430,89977,7945,104204,105,3173,3781,9658,,39.0,56.0,47.0,101.0,,literatura estrangeira,ficção
Água para Elefantes,Sara Gruen,Ficção / Literatura Estrangeira / Romance ,4.0,22182,40189,1222,54893,55,1964,3232,987,,,,99.0,,,literatura estrangeira,ficção
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96476,244932,3977,143315,267,1426,21866,4726,32.0,106.0,23.0,,16.0,24.0,literatura estrangeira,ficção
"Os Contos de Beedle, O Bardo (Harry Potter)",Joanne Kathleen Rowling,Contos / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira ,4.2,50780,132981,1063,54211,81,387,6995,1874,68.0,,,,66.0,,literatura estrangeira,ficção
A Estreia de Fani (Fazendo Meu Filme #1),Paula Pimenta,Literatura Brasileira / Romance ,4.3,43360,86939,1585,27879,361,804,8904,3079,,,,,,102.0,literatura brasileira,ficção
A Sombra do Vento (O Cemitério dos Livros Esquecidos #01),Carlos Ruiz Zafón ,Literatura Estrangeira / Romance / Suspense e Mistério / Aventura / Fantasia / Ficção / Infantojuvenil ,4.6,24542,41927,2201,68802,161,1211,9010,1829,,,102.0,,,100.0,literatura estrangeira,ficção
Cidade das Cinzas (Os Instrumentos Mortais #2),Cassandra Clare,Romance / Aventura / Ficção / Infantojuvenil / LGBT / GLS / Literatura Estrangeira ,4.1,49058,101176,2662,107789,162,1207,8021,2297,102.0,,50.0,,74.0,,literatura estrangeira,ficção
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72364,171578,18526,118302,700,6238,19789,2575,48.0,6.0,40.0,14.0,48.0,29.0,literatura estrangeira,ficção
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85422,134154,9475,127850,146,3220,12232,15480,67.0,33.0,33.0,46.0,46.0,59.0,literatura estrangeira,ficção
A Metamorfose (Clássicos Universais),Franz Kafka,Ficção / Literatura Estrangeira / Romance ,4.1,61184,111798,3084,26114,151,1099,6458,5248,89.0,,,,,,literatura estrangeira,ficção
Depois de você (Como eu era antes de você #2),Jojo Moyes,Literatura Estrangeira / Romance / Ficção ,3.8,32971,79778,4628,77699,88,2893,4184,1896,,87.0,78.0,52.0,,,literatura estrangeira,ficção
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89491,189900,7593,190370,473,2745,26502,7901,43.0,45.0,10.0,56.0,6.0,20.0,literatura estrangeira,ficção
O Monge e O Executivo,James C. Hunter,Administração / Autoajuda / Ficção / Literatura Estrangeira / Negócios e Empreendedorismo ,3.8,30239,105310,1847,9237,189,2112,2236,1084,97.0,,,89.0,,,literatura estrangeira,ficção
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57693,142647,4045,98583,246,1360,9360,3768,63.0,104.0,61.0,,75.0,94.0,literatura estrangeira,ficção
Sol da Meia-Noite (Crepúsculo #5),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.2,15823,20913,4166,15379,93,1065,2668,2960,,100.0,,,,,literatura estrangeira,ficção
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92082,333046,6183,101249,436,16231,12765,3737,16.0,65.0,59.0,2.0,,54.0,literatura estrangeira,ficção
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96846,237684,7940,196260,527,5168,20664,5629,33.0,40.0,7.0,19.0,9.0,25.0,literatura estrangeira,ficção
Verity,Colleen Hoover,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.5,80401,106029,5052,70130,89,392,11863,17703,95.0,79.0,99.0,,,61.0,literatura estrangeira,ficção
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154922,459522,9796,192227,888,2176,37156,5675,7.0,32.0,9.0,82.0,31.0,10.0,literatura estrangeira,ficção
Incendeia-me (Estilhaça-me #3),Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.6,35347,54097,1163,32148,77,201,9005,4751,,,,,,101.0,literatura estrangeira,ficção
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127272,324163,6649,181087,488,1792,33935,7502,19.0,58.0,13.0,,4.0,13.0,literatura estrangeira,ficção
O Teorema Katherine,John Michael Green,Ficção ,3.4,51731,123254,4571,142511,101,8575,5135,2092,76.0,88.0,24.0,7.0,60.0,,literatura estrangeira,ficção
A Coroa (A Seleção #5),Kiera Cass,Distopia / Ficção / Literatura Estrangeira / Romance / Infantojuvenil ,3.2,50213,124946,2233,62221,79,2936,3302,2964,75.0,,,51.0,,,literatura estrangeira,ficção
O Caçador de Pipas,Khaled Hosseini,Drama / Literatura Estrangeira / Romance / Ficção ,4.4,68891,225993,2519,78181,185,4313,13020,2139,36.0,,77.0,25.0,,52.0,literatura estrangeira,ficção
A Menina Que Não Sabia Ler #1,John Harding,Ficção / Literatura Estrangeira / Romance ,3.6,21331,39657,1555,97829,60,1612,2323,1333,,,62.0,,,,literatura estrangeira,ficção
Flores para Algernon,Daniel Keyes,Literatura Estrangeira / Romance / Drama / Ficção científica ,4.5,41376,50913,5146,49215,44,950,10401,9565,,78.0,,,,76.0,literatura estrangeira,ficção
A Biblioteca da Meia-Noite,Matt Haig,Ficção / Literatura Estrangeira / Romance ,4.3,31379,38533,7779,74416,38,899,5448,7915,,43.0,86.0,,,,literatura estrangeira,ficção
Madame Bovary (A Obra-prima de cada autor,Gustave Flaubert,Ficção / Literatura Estrangeira / Romance ,3.9,13092,25528,2363,21086,81,2005,1538,775,,,,96.0,,,literatura estrangeira,ficção
Iracema,José Martiniano de Alencar,Literatura Brasileira / Romance ,3.1,30372,120567,792,8293,65,2604,655,1020,79.0,,,62.0,,,literatura brasileira,ficção
Tormenta (Fallen #2),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,31545,69187,1728,72848,94,1935,4403,808,,,91.0,102.0,,,literatura estrangeira,ficção
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92990,208390,5868,84605,270,2022,25852,5782,38.0,67.0,71.0,94.0,47.0,21.0,literatura estrangeira,ficção
Laranja Mecânica,Anthony Burgess,Distopia / Ficção / Literatura Estrangeira ,4.4,24581,42605,2493,96770,96,1617,6393,1784,,,63.0,,27.0,,literatura estrangeira,ficção
