titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98298,149958,13471,124334,503,2260,17524,15781
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170204,499082,11997,180491,1006,2610,39339,6499
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106574,187759,12329,138200,662,3749,13936,13517
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67520,151619,7547,93147,512,2511,17635,3286
"Novembro, 9",Colleen Hoover,Literatura Estrangeira / Romance ,4.1,58823,91728,5806,106963,101,1098,7469,10162
O Símbolo Perdido (Robert Langdon #3),Dan Brown,Aventura / Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,4.1,45993,142605,3166,71255,124,2173,6146,1379
O Herói Perdido (Os Heróis do Olimpo #1),Rick Riordan,Ficção / Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,66480,172651,4048,52242,273,1242,8100,3250
A Batalha do Apocalipse,Eduardo Spohr,Fantasia / Literatura Brasileira ,4.3,25791,45034,4308,64713,211,4024,6778,1165
Morte Súbita,Joanne Kathleen Rowling,Literatura Estrangeira / Ficção ,3.8,19299,36812,3864,107056,40,6453,2970,1154
A arte da guerra (L&amp;PM Pocket),Sun Tzu,Filosofia / Literatura Estrangeira / Não-ficção / História ,3.8,29598,52489,2806,17602,226,2095,1993,1413
E Não Sobrou Nenhum,Agatha Christie,Romance policial / Ficção ,4.5,46293,75935,2902,45105,91,759,9667,5026
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55924,87522,10858,86429,180,6555,9699,11685
Insurgente (Divergente  #2),Veronica Roth,Literatura Estrangeira / Ficção / Infantojuvenil / Distopia ,4.1,47895,105277,2490,37480,94,1525,7522,1532
Eu Sou Eric Zimmerman #1,Megan Maxwell,Erótico / Ficção / Literatura Estrangeira / Romance ,4.1,1169,1794,15949,2045,5,26,209,87
Dom Casmurro (Série Bom Livro),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.2,95665,285447,6294,33960,677,5200,13127,4207
Cinquenta Tons de Cinza #1,E. L. James,Erótico / Literatura Estrangeira / Romance / Ficção ,3.6,62160,224116,4059,22042,363,6421,9218,2362
Heartstopper #1,Alice Oseman,"HQ, comics, mangá / LGBT / GLS / Romance / Ficção / Jovem adulto / Literatura Estrangeira ",4.7,84399,113225,1783,34454,204,91,14393,13514
Querido John,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.0,59364,228057,2300,89929,167,2736,9074,2088
O Alquimista,Paulo Coelho,Literatura Brasileira / Romance / Autoajuda / Ficção / Religião e Espiritualidade ,3.8,38785,121002,1193,13222,144,1433,4326,1643
O segredo (The Secret),Rhonda Byrne,Autoajuda / Literatura Estrangeira ,3.3,17304,33234,1445,6492,179,3560,1344,784
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90196,312545,4479,104683,208,5379,10754,2115
O Retorno do Rei (O Senhor dos Anéis #3),J. R. R. Tolkien,Fantasia / Ficção / Literatura Estrangeira ,4.7,30335,74757,1281,65922,134,730,8671,1034
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138265,323708,5758,112473,416,1617,20415,7836
O Mar de Monstros (Percy Jackson e os Olimpianos #2),Rick Riordan,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,136314,338946,5000,51795,505,1369,15454,6385
Daisy Jones &amp; The Six,Taylor Jenkins Reid,Romance / Ficção / Literatura Estrangeira / Música / Drama ,4.4,56823,68818,7148,74012,167,1279,14489,13166
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171123,447089,12043,119519,1420,3355,28687,10292
Triste fim de Policarpo Quaresma,Lima Barreto,Ficção / Literatura Brasileira / Romance ,3.6,17124,33344,1336,10232,53,1937,909,988
