titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_abondonados
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135624,413367,16146,313686,1061,20561,42433,5571,1
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92078,333003,6183,101249,436,16231,12765,3737,2
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43214,129742,11384,87425,755,13052,9459,1960,3
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68066,153700,10498,114633,537,10717,14174,6635,4
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65602,207432,24106,198219,825,10248,20171,2926,5
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111665,315342,21301,253862,694,8790,19696,8127,6
O Teorema Katherine,John Michael Green,Ficção ,3.4,51723,123212,4571,142499,101,8573,5135,2092,7
A Hospedeira,Stephenie Meyer,Ficção científica / Literatura Estrangeira ,4.2,38725,105135,2344,51056,209,8209,9751,1780,8
Crepúsculo #1,Stephenie Meyer,Romance / Literatura Estrangeira / Ficção / Fantasia ,3.8,131936,413557,5778,35841,948,6796,17164,5536,9
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83013,136926,13784,98811,759,6657,27173,7669,10
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55908,87484,10857,86416,180,6550,9698,11682,11
Morte Súbita,Joanne Kathleen Rowling,Literatura Estrangeira / Ficção ,3.8,19299,36812,3864,107056,40,6453,2970,1154,12
Cinquenta Tons de Cinza #1,E. L. James,Erótico / Literatura Estrangeira / Romance / Ficção ,3.6,62156,224106,4059,22034,363,6421,9218,2362,13
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72360,171578,18519,118302,701,6233,19789,2574,14
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85161,130753,20201,113812,813,6048,18512,14292,15
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181962,590691,12211,255594,1096,5932,37076,8898,16
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90194,312545,4478,104669,208,5379,10754,2115,17
Dom Casmurro (Série Bom Livro),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.2,95661,285426,6287,33955,677,5200,13127,4207,18
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96831,237636,7940,196236,528,5168,20664,5628,19
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93208,184670,14497,206335,638,5063,16385,10229,20
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72383,183429,5199,145506,215,4918,8797,2974,21
1984,George Orwell,Distopia / Ficção científica ,4.5,80168,152375,20271,162793,430,4564,16978,8274,22
A Herdeira (A Seleção #4),Kiera Cass,Ficção / Literatura Estrangeira / Romance / Distopia / Infantojuvenil ,3.4,67058,158757,3749,64945,165,4366,6512,3421,23
O Cortiço,Aluísio Azevedo,Literatura Brasileira / Ficção ,3.7,51098,162047,2882,18289,216,4350,3078,1781,24
O Caçador de Pipas,Khaled Hosseini,Drama / Literatura Estrangeira / Romance / Ficção ,4.4,68890,225989,2519,78181,185,4313,13020,2139,25
A Batalha do Apocalipse,Eduardo Spohr,Fantasia / Literatura Brasileira ,4.3,25791,45034,4308,64713,211,4024,6778,1165,26
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,261985,695007,17624,150161,2504,4015,51626,13614,27
Espada de Vidro (A Rainha Vermelha #2),Victoria Aveyard,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,3.8,48310,94462,8474,83348,171,3990,4243,4858,28
Um Dia,David Nicholls,Romance / Literatura Estrangeira / Ficção / Jovem adulto ,4.1,31969,60915,2945,63756,104,3990,7966,1856,29
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.1,57319,151301,4393,29563,301,3963,6847,2588,30
