titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_desejados
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81341,330978,6660,302077,239,2206,13353,4178,1
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135624,413367,16148,313686,1061,20561,42433,5571,2
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111665,315342,21301,253862,694,8790,19696,8127,3
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127261,324124,6654,181058,488,1792,33935,7501,4
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,261985,695007,17624,150161,2504,4015,51626,13614,5
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89473,189858,7593,190332,473,2745,26499,7899,6
1984,George Orwell,Distopia / Ficção científica ,4.5,80168,152375,20271,162793,430,4564,16978,8274,7
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181963,590691,12211,255594,1096,5932,37076,8898,8
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96831,237636,7940,196236,528,5168,20664,5628,9
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158267,245913,18337,183201,668,1255,36690,30767,10
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164363,388503,9925,164521,1079,2452,33785,12315,11
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93210,184672,14500,206335,638,5063,16386,10229,12
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83013,136926,13784,98811,759,6657,27173,7669,13
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223372,728518,9928,166487,1931,3591,49256,11938,14
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106221,269883,4170,134865,309,1062,29742,4898,15
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96469,244917,3976,143300,267,1425,21864,4722,16
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126838,281681,11031,130402,341,2542,17272,12865,17
O Sol é Para Todos,Harper Lee,Ficção / Literatura Estrangeira ,4.6,28023,49002,3990,128611,75,771,8820,3253,18
Os 13 Porquês,Jay Asher,Drama / Ficção / Literatura Estrangeira / Suspense e Mistério / Jovem adulto ,3.9,29577,62539,2138,70649,92,1289,5572,1518,19
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65602,207432,24106,198219,825,10248,20171,2926,20
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137570,191058,20238,174318,523,2114,44859,29985,21
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213727,589354,10916,120072,1146,2322,37951,8581,22
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138239,323628,5759,112442,416,1615,20413,7835,23
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193150,543171,8820,144888,933,1761,51838,8171,24
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106554,187702,12330,138169,662,3748,13936,13516,25
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129568,301785,3726,119025,354,874,29326,8113,26
Laranja Mecânica,Anthony Burgess,Distopia / Ficção / Literatura Estrangeira ,4.4,24580,42595,2493,96765,96,1617,6393,1784,27
It: A Coisa,Stephen King,Literatura Estrangeira / Ficção / Terror ,4.5,28199,53429,14869,140465,238,3324,10561,3303,28
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80277,203001,8145,153688,268,2861,23810,4742,29
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171101,447023,12041,119509,1420,3355,28684,10291,30
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154909,459478,9794,192196,889,2176,37154,5675,31
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170191,499034,11992,180471,1005,2610,39337,6496,32
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68443,169717,6358,134695,460,3666,12640,4169,33
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152304,451068,4637,196067,682,1134,39353,5391,34
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68066,153700,10498,114633,537,10717,14174,6635,35
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63154,105836,6286,101383,392,1298,10833,7300,36
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147318,435865,4400,189691,855,1294,42111,5468,37
Por Lugares Incríveis,Jennifer Niven,Infantojuvenil / Drama / Literatura Estrangeira / Romance ,4.4,47653,84272,6448,132578,230,1804,13970,6517,38
Precisamos Falar Sobre o Kevin,Lionel Shriver,Crime / Ficção / Literatura Estrangeira / Romance / Drama ,4.5,12208,20932,2482,76776,30,1542,4081,1351,39
Coraline,Neil Gaiman,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Horror ,4.4,54601,88217,4284,79969,236,619,9116,7066,40
Os Miseráveis,Victor Hugo,Ficção / Literatura Estrangeira / Romance ,4.5,27216,53243,7035,61645,207,1116,7569,1740,41
Garota Exemplar,Gillian Flynn,Suspense e Mistério / Literatura Estrangeira / Romance policial ,4.3,30160,54512,3512,92777,45,2133,6840,2530,42
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43214,129742,11384,87425,755,13052,9459,1960,43
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67515,151611,7543,93148,512,2511,17635,3284,44
