titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_favoritos
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193150,543181,8820,144888,933,1761,51838,8171,1
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,261985,695007,17625,150161,2504,4015,51626,13614,2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223372,728517,9926,166487,1931,3591,49256,11938,3
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137571,191058,20241,174329,523,2114,44859,29985,4
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135624,413367,16148,313686,1061,20561,42433,5571,5
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147318,435865,4400,189691,855,1294,42111,5468,6
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152304,451078,4637,196067,682,1134,39353,5391,7
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170191,499034,11992,180471,1005,2610,39337,6496,8
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213728,589375,10915,120072,1146,2322,37951,8581,9
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154909,459478,9794,192196,889,2176,37154,5675,10
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181963,590691,12211,255594,1096,5932,37076,8899,11
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158268,245933,18336,183202,668,1255,36690,30768,12
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127263,324124,6652,181058,488,1792,33935,7501,13
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164363,388503,9925,164521,1079,2452,33786,12315,14
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106220,269883,4170,134865,309,1062,29742,4898,15
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129568,301787,3726,119025,354,874,29326,8113,16
