titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_quero_ler
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135623,413367,16146,313684,1061,20561,42433,5571,1
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81341,330978,6662,302063,239,2206,13353,4178,2
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181959,590691,12211,255585,1096,5932,37076,8898,3
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111661,315334,21301,253857,694,8790,19696,8127,4
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93204,184659,14497,206336,638,5063,16385,10229,5
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65601,207432,24106,198219,825,10248,20171,2926,6
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96831,237636,7940,196236,528,5168,20664,5628,7
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152301,451068,4637,196067,682,1134,39353,5391,8
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154904,459478,9794,192196,889,2176,37154,5675,9
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89472,189858,7593,190328,473,2745,26499,7899,10
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147315,435865,4400,189692,855,1294,42111,5468,11
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158256,245913,18333,183198,668,1255,36688,30767,12
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127261,324124,6652,181053,488,1792,33935,7501,13
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170185,499033,11992,180471,1006,2610,39337,6496,14
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137561,191043,20238,174318,523,2112,44856,29984,15
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223365,728507,9928,166487,1931,3591,49256,11937,16
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164361,388503,9925,164521,1079,2452,33785,12315,17
1984,George Orwell,Distopia / Ficção científica ,4.5,80167,152375,20270,162791,430,4564,16978,8274,18
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80276,203001,8145,153688,269,2861,23810,4742,19
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,261978,695008,17622,150157,2504,4015,51627,13614,20
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72383,183429,5199,145506,215,4918,8797,2974,21
