titulo,mais_lidos
O Pequeno Príncipe,1
Harry Potter e a Pedra Filosofal (Harry Potter #1),2
A Culpa é das Estrelas,3
Harry Potter e a Câmara Secreta (Harry Potter #2),4
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),5
Harry Potter e o Cálice de Fogo (Harry Potter #4),6
Harry Potter e a Ordem da Fênix (Harry Potter #5),7
Harry Potter e o Enigma do Príncipe (Harry Potter #6),8
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),9
Harry Potter e as Relíquias da Morte (Harry Potter #7),10
Crepúsculo #1,11
A Menina que Roubava Livros,12
A Seleção #1,13
Lua Nova (Crepúsculo #2),14
O Mar de Monstros (Percy Jackson e os Olimpianos #2),15
A Cabana,16
O Menino do Pijama Listrado,17
Eclipse  (Crepúsculo #3),18
Jogos Vorazes #1,19
A Elite (A Seleção #2),20
Amanhecer (Crepúsculo #4),21
O Diário de Anne Frank,22
O Código Da Vinci (Robert Langdon #2),23
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),24
A Escolha (A Seleção #3),25
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),26
Dom Casmurro (Série Bom Livro),27
A Revolução dos Bichos,28
Em Chamas (Jogos Vorazes #2),29
O Último Olimpiano (Percy Jackson e os Olimpianos #5),30
É Assim Que Acaba,31
A Esperança (Jogos Vorazes #3),32
"Quem É Você, Alasca?",33
Anjos e Demônios (Robert Langdon #1),34
Querido John,35
O Caçador de Pipas,36
Cinquenta Tons de Cinza #1,37
Extraordinário,38
Marley &amp; Eu,39
As Crônicas de Nárnia,40
Como Eu Era Antes de Você #1,41
Os sete maridos de Evelyn Hugo,42
As Vantagens de Ser Invisível,43
Corte de Espinhos e Rosas #1,44
A Rainha Vermelha #1,45
Cidades de Papel,46
O Herói Perdido (Os Heróis do Olimpo #1),47
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),48
A Última Música,49
Cidade dos Ossos (Os Instrumentos Mortais #1),50
Cinquenta Tons Mais Escuros (Cinquenta Tons de Cinza #2),51
Fallen #1,52
O Cortiço,53
A Herdeira (A Seleção #4),54
O Morro dos Ventos Uivantes,55
1984,56
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),57
O Hobbit,58
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),59
O Príncipe Cruel (O Povo do Ar #1),60
Capitães da Areia,61
O Símbolo Perdido (Robert Langdon #3),62
Para Todos os Garotos que Já Amei #1,63
Divergente (Divergente  #1),64
Amor &amp; Gelato,65
Orgulho e preconceito,66
Teto Para Dois,67
"Os Contos de Beedle, O Bardo (Harry Potter)",68
"Sussurro (Hush, Hush #01)",69
"Vermelho, Branco e Sangue Azul",70
O Mundo de Sofia,71
Fortaleza Digital,72
Mentirosos,73
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),74
A Coroa (A Seleção #5),75
O Teorema Katherine,76
O Duque e Eu (Os Bridgertons #1),77
O Alquimista,78
Iracema,79
O Filho de Netuno (Os Heróis do Olimpo #2),80
Todas as Suas (Im)Perfeições,81
O Guia do Mochileiro das Galáxias #1,82
A Sociedade do Anel (O Senhor dos Anéis #1),83
Alice No País das Maravilhas,84
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),85
Heartstopper #1,86
O Lado Feio do Amor,87
Assassinato No Expresso do Oriente,88
A Metamorfose (Clássicos Universais),89
O Acordo (Amores Improváveis #1),90
A Droga da Obediência (Os Karas #1),91
O Despertar (Diários do Vampiro #1),92
Vidas Secas,93
Trono de Vidro #1,94
Verity,95
O Rei Perverso (O Povo do Ar #2),96
O Monge e O Executivo,97
Insurgente (Divergente  #2),98
A Hospedeira,99
A Moreninha (Série Bom Livro),100
A Marca de Atena (Os Heróis do Olimpo #3),101
Cidade das Cinzas (Os Instrumentos Mortais #2),102
Ponto de Impacto,103
Memórias de um Sargento de Milícias (Bom Livro),104
O Visconde Que Me Amava (Os Bridgertons #2),105
P.S.: Ainda Amo Você (Para Todos os Garotos que Já Amei #2),106
